geo,TIME_PERIOD,age,births,population,births_per_woman
AD,2006,Y15,0,374.0,0.0
AD,2007,Y15,0,391.0,0.0
AD,2008,Y15,0,376.0,0.0
AD,2009,Y15,0,337.0,0.0
AD,2010,Y15,0,353.0,0.0
AL,2013,Y15,26,22550.0,0.0011529933481152993
AL,2014,Y15,29,23767.0,0.0012201792401228594
AL,2015,Y15,21,22024.0,0.0009535052669814748
AL,2016,Y15,26,18221.0,0.0014269249766752647
AL,2017,Y15,16,20713.0,0.00077246173900449
AL,2018,Y15,20,18708.0,0.0010690613641223007
AL,2020,Y15,17,17631.0,0.0009642107651296012
AL,2021,Y15,28,16054.0,0.0017441136165441634
AL,2022,Y15,22,15546.0,0.0014151550238003345
AL,2023,Y15,23,15988.0,0.0014385789342006505
AM,2018,Y15,10,16571.0,0.0006034638826866212
AM,2019,Y15,7,16578.0,0.0004222463505851128
AT,1960,Y15,63,39851.0,0.0015808888108203056
AT,1961,Y15,78,46357.0,0.0016825937830316888
AT,1962,Y15,88,53743.0,0.0016374225480527698
AT,1963,Y15,108,52193.0,0.0020692430019351254
AT,1964,Y15,88,49080.0,0.0017929910350448248
AT,1965,Y15,65,48154.0,0.0013498359430161564
AT,1966,Y15,55,47022.0,0.001169665263068351
AT,1967,Y15,59,47993.0,0.0012293459462838332
AT,1968,Y15,64,48397.0,0.001322396016282001
AT,1969,Y15,59,49304.0,0.0011966574720103846
AT,1970,Y15,79,51382.0,0.001537503405861975
AT,1971,Y15,90,54274.0,0.001658252570291484
AT,1972,Y15,99,55521.0,0.0017831090938563786
AT,1973,Y15,114,56678.0,0.002011362433395674
AT,1974,Y15,123,58854.0,0.0020899174227750027
AT,1975,Y15,91,60811.0,0.0014964397888539902
AT,1976,Y15,67,63597.0,0.0010535088133088039
AT,1977,Y15,72,64309.0,0.0011195944580074328
AT,1978,Y15,78,65586.0,0.0011892781996157716
AT,1979,Y15,60,65277.0,0.0009191598878624937
AT,1980,Y15,69,63137.0,0.0010928615550311227
AT,1981,Y15,54,62229.0,0.0008677626187147472
AT,1982,Y15,46,61882.0,0.0007433502472447562
AT,1984,Y15,46,59225.0,0.0007766990291262136
AT,1985,Y15,37,54861.0,0.0006744317456845483
